fighter_name,fighter_url,height_raw,weight_raw,reach_raw,stance_raw,date_of_birth,height_in,weight_lbs,reach_in,stance
Justin Wren,http://ufcstats.com/fighter-details/e78f601035d677f2,"6' 2""",265 lbs.,--,Orthodox,1987-04-27,74.0,265.0,,Orthodox
Justine Kish,http://ufcstats.com/fighter-details/928ae2e5b5f7a9ec,"5' 5""",125 lbs.,"64""",Orthodox,1988-04-13,65.0,125.0,64.0,Orthodox
Jutaro Nakao,http://ufcstats.com/fighter-details/95eb112a85601a0a,"5' 9""",170 lbs.,--,Southpaw,1970-11-30,69.0,170.0,,Southpaw
KB Bhullar,http://ufcstats.com/fighter-details/9cd047a828dd7515,"6' 4""",185 lbs.,"78""",Switch,1991-10-12,76.0,185.0,78.0,Switch
KJ Noons,http://ufcstats.com/fighter-details/b7ffa72aa148599a,"5' 10""",155 lbs.,"70""",Orthodox,1982-12-07,70.0,155.0,70.0,Orthodox
Kaan Ofli,http://ufcstats.com/fighter-details/7facc9c45d792985,"5' 7""",145 lbs.,"66""",Orthodox,1993-06-19,67.0,145.0,66.0,Orthodox
Kai Asakura,http://ufcstats.com/fighter-details/d33da8a3d82bdb62,"5' 8""",125 lbs.,"69""",Orthodox,1993-10-31,68.0,125.0,69.0,Orthodox
Kai Kamaka,http://ufcstats.com/fighter-details/eee0ef3e2b14816b,"5' 7""",145 lbs.,"69""",Orthodox,1995-01-05,67.0,145.0,69.0,Orthodox
Kai Kara-France,http://ufcstats.com/fighter-details/853eb0dd5c0e2149,"5' 4""",125 lbs.,"69""",Orthodox,1993-03-26,64.0,125.0,69.0,Orthodox
Kailin Curran,http://ufcstats.com/fighter-details/05b43e0ead3df345,"5' 4""",115 lbs.,"65""",Orthodox,1991-04-11,64.0,115.0,65.0,Orthodox
Kajan Johnson,http://ufcstats.com/fighter-details/633a45d131192ffe,"5' 11""",155 lbs.,"75""",Orthodox,1984-04-21,71.0,155.0,75.0,Orthodox
Kalib Starnes,http://ufcstats.com/fighter-details/c8136ab8aa32c974,"6' 3""",185 lbs.,"74""",Orthodox,1975-01-06,75.0,185.0,74.0,Orthodox
Kalindra Faria,http://ufcstats.com/fighter-details/27b164b0d1833df0,"5' 7""",125 lbs.,--,Switch,1986-07-23,67.0,125.0,,Switch
Kamal Shalorus,http://ufcstats.com/fighter-details/ece280745f8727b8,"5' 8""",155 lbs.,"68""",Orthodox,1972-08-27,68.0,155.0,68.0,Orthodox
Kamaru Usman,http://ufcstats.com/fighter-details/f1b2aa7853d1ed6e,"6' 0""",170 lbs.,"76""",Switch,1987-05-11,72.0,170.0,76.0,Switch
Kamuela Kirk,http://ufcstats.com/fighter-details/c7d7fda69ec410d3,"5' 10""",155 lbs.,"75""",Switch,1994-04-13,70.0,155.0,75.0,Switch
Kanako Murata,http://ufcstats.com/fighter-details/e0b0cf71e0d69dd0,"5' 1""",115 lbs.,"62""",Orthodox,1993-08-10,61.0,115.0,62.0,Orthodox
Karine Gevorgyan,http://ufcstats.com/fighter-details/2db0c114414d4f06,"5' 4""",125 lbs.,"63""",,1989-03-09,64.0,125.0,63.0,
Karine Silva,http://ufcstats.com/fighter-details/9d62c2d8ee151f08,"5' 5""",125 lbs.,"67""",Orthodox,1993-12-02,65.0,125.0,67.0,Orthodox
Karl Roberson,http://ufcstats.com/fighter-details/37d5b176d438d2a5,"6' 1""",205 lbs.,"74""",Southpaw,1990-10-04,73.0,205.0,74.0,Southpaw
Karl Williams,http://ufcstats.com/fighter-details/d35f734c56a89103,"6' 3""",235 lbs.,"79""",Orthodox,1990-01-06,75.0,235.0,79.0,Orthodox
Karlos Vemola,http://ufcstats.com/fighter-details/d23ccf4a6c221284,"6' 0""",185 lbs.,"75""",Orthodox,1985-07-03,72.0,185.0,75.0,Orthodox
Karo Parisyan,http://ufcstats.com/fighter-details/349aaa3da11eb587,"5' 10""",170 lbs.,"72""",Orthodox,1982-08-28,70.0,170.0,72.0,Orthodox
Karol Rosa,http://ufcstats.com/fighter-details/351c4ec637380ad5,"5' 5""",135 lbs.,"67""",Orthodox,1994-12-30,65.0,135.0,67.0,Orthodox
Karolina Kowalkiewicz,http://ufcstats.com/fighter-details/d7c3816669784109,"5' 3""",115 lbs.,"64""",Orthodox,1985-10-15,63.0,115.0,64.0,Orthodox
Katlyn Cerminara,http://ufcstats.com/fighter-details/e872e9a9a902c045,"5' 9""",125 lbs.,"68""",Orthodox,1988-12-28,69.0,125.0,68.0,Orthodox
Katsuhisa Fujii,http://ufcstats.com/fighter-details/d71d968dc6ecfdaf,"6' 0""",205 lbs.,--,Orthodox,1972-08-15,72.0,205.0,,Orthodox
Katsunori Kikuno,http://ufcstats.com/fighter-details/44470bfd9483c7ad,"5' 8""",145 lbs.,"66""",Orthodox,1981-10-31,68.0,145.0,66.0,Orthodox
